variable,col1,col2,col3,col4,col5,Sector,Subsector,Technology,Fuel,CCS_flag
Energy Service|Residential and Commercial|Residential|Floor Space,Energy Service,Residential and Commercial,Residential,Floor Space,,Residential and Commercial,Residential,,,
Investment|Energy Demand|Transportation|Freight|Road|HDT|ICE,Investment,Energy Demand,Transportation,Freight,Road,Transportation,,Freight,Freight,
Investment|Energy Supply|Electricity|Ocean,Investment,Energy Supply,Electricity,Ocean,,Renewables,,Ocean,Ocean,
Energy Service|Floor Space|Residential,Energy Service,Floor Space,Residential,,,Floor Space,Residential,,,
Capital Cost|Hydrogen|Electricity,Capital Cost,Hydrogen,Electricity,,,Power,Hydrogen,Electricity,,
Energy Service|Transportation|Passenger|Bicycling and Walking,Energy Service,Transportation,Passenger,Bicycling and Walking,,Transportation,Passenger,,,
Lifetime|Hydrogen|Electricity,Lifetime,Hydrogen,Electricity,,,Power,Hydrogen,Hydrogen,Electricity,
Emissions|CO2|Energy|Demand|Transportation|Aviation,Emissions,CO2,Energy,Demand,Transportation,Transportation,Demand,Energy,,
Emissions|CO2|Energy|Demand|Transportation|Rail,Emissions,CO2,Energy,Demand,Transportation,Transportation,Demand,Energy,,
Final Energy|Transportation|Aviation|Freight,Final Energy,Transportation,Aviation,Freight,,Transportation,Aviation,Freight,,
Final Energy|Transportation|Maritime,Final Energy,Transportation,Maritime,,,Transportation,Maritime,,,
Final Energy|Transportation|Road|Passenger,Final Energy,Transportation,Road,Passenger,,Transportation,Road,Passenger,,
Final Energy|Transportation|Liquids|Fossil synfuel,Final Energy,Transportation,Liquids,Fossil synfuel,,Transportation,Liquids,Fossil synfuel,,
Cumulative Capacity|Electricity|Solar|CSP,Cumulative Capacity,Electricity,Solar,CSP,,Renewables,Solar,Solar - CSP,Solar,
Welfare,Welfare,,,,,,,,,
Investment|Clean Energy,Investment,Clean Energy,,,,,,,,
Primary Energy|Coal|Solids,Primary Energy,Coal,Solids,,,Coal,Coal,Coal - Solids,Coal,
Emissions|CO2|Energy|Demand|Residential and Commercial|Commercial|Education,Emissions,CO2,Energy,Demand,Residential and Commercial,Residential and Commercial,Demand,Energy,,
Energy Service|Residential and Commercial|Residential|Single family|Floor space,Energy Service,Residential and Commercial,Residential,Single family,Floor space,Residential and Commercial,Residential,,,
Capacity Additions|Electricity|Solar|CSP,Capacity Additions,Electricity,Solar,CSP,,Renewables,Solar,Solar - CSP,Solar,
Primary Energy|Coal|Liquids,Primary Energy,Coal,Liquids,,,Coal,Coal,Coal - Liquids,Coal,
Emissions|Sulfur|Other,Emissions,Sulfur,Other,,,,,Other,,
Employment|Industry,Employment,Industry,,,,Industry,,,,
Employment|Industry|Energy Intensive,Employment,Industry,Energy Intensive,,,Industry,Energy Intensive,,,
Export|Industry,Export,Industry,,,,Industry,,,,
Import|Industry,Import,Industry,,,,Industry,,,,
Emissions|HFC|Industrial Processes,Emissions,HFC,Industrial Processes,,,Industry,,Industrial Processes,,
Cumulative Capacity|Liquids|Biomass|w/o CCS,Cumulative Capacity,Liquids,Biomass,w/o CCS,,Power,Liquids,Biomass - w/o CCS,Biomass,w/o CCS
Final Energy (excl. feedstocks)|Industry|Electricity,Final Energy (excl. feedstocks),Industry,Electricity,,,Industry,Electricity,,,
Final Energy (excl. feedstocks)|Industry|Liquids|Fossil,Final Energy (excl. feedstocks),Industry,Liquids,Fossil,,Industry,Liquids,Fossil,,
Final Energy (excl. feedstocks)|Industry|Gases|Bioenergy,Final Energy (excl. feedstocks),Industry,Gases,Bioenergy,,Industry,Gases,Bioenergy,,
Cumulative Capacity|Hydrogen|Biomass,Cumulative Capacity,Hydrogen,Biomass,,,Power,Hydrogen,Biomass,Biomass,
Debt|Public,Debt,Public,,,,,,,,
Employment|Industry|Energy|Electricity and Gas,Employment,Industry,Energy,Electricity and Gas,,Industry,Energy,Electricity and Gas,,
Employment|Services|Transportation,Employment,Services,Transportation,,,Services,Transportation,,,
Value Added|Industry|Manufacturing|Light Manufacturing,Value Added,Industry,Manufacturing,Light Manufacturing,,Industry,Manufacturing,Light Manufacturing,,
Value Added|Industry|Manufacturing|Steel,Value Added,Industry,Manufacturing,Steel,,Industry,Manufacturing,Steel,,
Value Added|Services|Transportation,Value Added,Services,Transportation,,,Services,Transportation,,,
Cumulative Capacity|Hydrogen|Coal|w/o CCS,Cumulative Capacity,Hydrogen,Coal,w/o CCS,,Power,Hydrogen,Coal - w/o CCS,Coal,w/o CCS
Investment|Energy Supply|Hydrogen|Renewable,Investment,Energy Supply,Hydrogen,Renewable,,Hydrogen,,Renewable,Renewable,
Subsidies|Energy|Fossil,Subsidies,Energy,Fossil,,,Energy,Fossil,,,
Water Consumption|Electricity|Solar,Water Consumption,Electricity,Solar,,,Renewables,Solar,Solar,Solar,
Water Consumption|Electricity|Solar|PV,Water Consumption,Electricity,Solar,PV,,Renewables,Solar,Solar - PV,Solar,
Water Withdrawal|Electricity|Wet Tower,Water Withdrawal,Electricity,Wet Tower,,,Power,Wet Tower,Wet Tower,Wet Tower,
Emissions|CH4|Energy|Demand|Residential and Commercial|Commercial,Emissions,CH4,Energy,Demand,Residential and Commercial,Residential and Commercial,Demand,Energy,,
Emissions|CO2|Energy|Demand|Industry|Chemicals,Emissions,CO2,Energy,Demand,Industry,Industry,Demand,Energy,,
Final Energy|Industry|Chemicals|Ammonia|Electricity,Final Energy,Industry,Chemicals,Ammonia,Electricity,Chemicals,Ammonia,Electricity,,
Final Energy|Industry|Chemicals|Ammonia|Gases,Final Energy,Industry,Chemicals,Ammonia,Gases,Chemicals,Ammonia,Gases,,
Final Energy|Industry|Chemicals|Ammonia|Liquids,Final Energy,Industry,Chemicals,Ammonia,Liquids,Chemicals,Ammonia,Liquids,,
Final Energy|Industry|Chemicals|Ammonia|Liquids|Bioenergy,Final Energy,Industry,Chemicals,Ammonia,Liquids,Chemicals,Ammonia,Liquids,,
Final Energy|Industry|Chemicals|Ammonia|Liquids|Fossil,Final Energy,Industry,Chemicals,Ammonia,Liquids,Chemicals,Ammonia,Liquids,,
Final Energy|Industry|Chemicals|Ammonia|Solids|Bioenergy,Final Energy,Industry,Chemicals,Ammonia,Solids,Chemicals,Ammonia,Solids,,
Final Energy|Industry|Chemicals|High value chemicals|Gases,Final Energy,Industry,Chemicals,High value chemicals,Gases,Chemicals,High value chemicals,Gases,,
Final Energy|Industry|Other|Liquids|Bioenergy,Final Energy,Industry,Other,Liquids,Bioenergy,Industry,Liquids,Bioenergy,,
Final Energy|Industry|Steel|Hydrogen,Final Energy,Industry,Steel,Hydrogen,,Steel,Hydrogen,,,
Final Energy|Transportation|Passenger|Gases|Fossil,Final Energy,Transportation,Passenger,Gases,Fossil,Transportation,Passenger,Gases - Fossil,,
Population|Electricity Access,Population,Electricity Access,,,,,,,,
Emissions|NOx|Waste,Emissions,NOx,Waste,,,,,Waste,,
Food Waste,Food Waste,,,,,,,,,
Investment|Energy Supply|Hydrogen|Biomass,Investment,Energy Supply,Hydrogen,Biomass,,Hydrogen,,Biomass,Biomass,
Taxes|Energy,Taxes,Energy,,,,Energy,,,,
Forcing|CH4,Forcing,CH4,,,,,,,,
Temperature|Global Mean,Temperature,Global Mean,,,,,,,,
Carbon Utilization|CCS|Biomass|Industry,Carbon Utilization,CCS,Biomass,Industry,,Industry,Biomass,Biomass - CCS,,CCS
Carbon Utilization|CCS|Fossil|Industry,Carbon Utilization,CCS,Fossil,Industry,,Industry,Fossil,Fossil - CCS,,CCS
Discount rate|Mobility,Discount rate,Mobility,,,,Mobility,,,,
Capacity|Liquids|Coal|w/o CCS,Capacity,Liquids,Coal,w/o CCS,,Power,Liquids,,Coal,w/o CCS
Capital Cost|Hydrogen|Gas|w/o CCS,Capital Cost,Hydrogen,Gas,w/o CCS,,Gas&Oil,Hydrogen,Gas - w/o CCS,,w/o CCS
Cumulative Capacity|Liquids|Biomass,Cumulative Capacity,Liquids,Biomass,,,Power,Liquids,Biomass,Biomass,
Efficiency|Gases|Biomass|w/o CCS,Efficiency,Gases,Biomass,w/o CCS,,Biomass,,Gases,Biomass,w/o CCS
Efficiency|Hydrogen|Coal|w/ CCS,Efficiency,Hydrogen,Coal,w/ CCS,,Coal,,Hydrogen,Coal,w/ CCS
Lifetime|Hydrogen|Coal|w/o CCS,Lifetime,Hydrogen,Coal,w/o CCS,,Hydrogen,Coal,Coal - w/o CCS,Coal,w/o CCS
Lifetime|Liquids|Biomass|w/o CCS,Lifetime,Liquids,Biomass,w/o CCS,,Liquids,Biomass,Biomass - w/o CCS,Biomass,w/o CCS
Lifetime|Liquids|Coal|w/o CCS,Lifetime,Liquids,Coal,w/o CCS,,Liquids,Coal,Coal - w/o CCS,Coal,w/o CCS
OM Cost|Fixed|Hydrogen|Gas|w/ CCS,OM Cost,Fixed,Hydrogen,Gas,w/ CCS,Hydrogen,Gas,Gas - w/ CCS,,w/ CCS
Water Consumption|Heat|Biomass,Water Consumption,Heat,Biomass,,,Heat,Biomass,Biomass,Biomass,
Water Consumption|Hydrogen,Water Consumption,Hydrogen,,,,Hydrogen,,,,
Water Consumption|Liquids|Biomass|w/ CCS,Water Consumption,Liquids,Biomass,w/ CCS,,Liquids,Biomass,Biomass - w/ CCS,Biomass,w/ CCS
Water Consumption|Liquids|Coal,Water Consumption,Liquids,Coal,,,Liquids,Coal,Coal,Coal,
Water Consumption|Liquids|Oil,Water Consumption,Liquids,Oil,,,Liquids,Oil,Oil,Oil,
Water Withdrawal|Heat|Oil,Water Withdrawal,Heat,Oil,,,Heat,Oil,Oil,Oil,
Water Withdrawal|Heat|Other,Water Withdrawal,Heat,Other,,,Heat,Other,Other,Other,
Water Withdrawal|Hydrogen|Biomass|w/ CCS,Water Withdrawal,Hydrogen,Biomass,w/ CCS,,Hydrogen,Biomass,Biomass - w/ CCS,Biomass,w/ CCS
Water Withdrawal|Liquids|Coal|w/o CCS,Water Withdrawal,Liquids,Coal,w/o CCS,,Liquids,Coal,Coal - w/o CCS,Coal,w/o CCS
Emissions|CO2|Energy|Demand|Industry|Non-ferrous metals,Emissions,CO2,Energy,Demand,Industry,Industry,Demand,Energy,,
Emissions|CO2|Industrial Processes|Chemicals,Emissions,CO2,Industrial Processes,Chemicals,,Industry,Chemicals,Industrial Processes,,
Emissions|CO2|Industrial Processes|Other,Emissions,CO2,Industrial Processes,Other,,Industry,Other,Industrial Processes,,
Useful Energy|Per Capita|Transportation|Passenger,Useful Energy,Per Capita,Transportation,Passenger,,Transportation,,,,
Capacity|Electricity|Storage|Battery Capacity|Utility-scale Battery ,Capacity,Electricity,Storage,Battery Capacity,Utility-scale Battery ,Power,Storage,Battery Capacity - Utility-scale Battery ,Electricity,
Capacity|Electricity|Storage|Hydrogen Storage Capacity|underground,Capacity,Electricity,Storage,Hydrogen Storage Capacity,underground,Power,Storage,Hydrogen Storage Capacity - underground,Storage,
Capital Cost|Gas|Synthetic,Capital Cost,Gas,Synthetic,,,Gas&Oil,Gas,Gas - Synthetic,,
Final Energy|Residential and Commercial|Commercial|Heating|Electric boilers,Final Energy,Residential and Commercial,Commercial,Heating,Electric boilers,Commercial,Heating,Electric boilers,,
Final Energy|Residential and Commercial|Residential|Heating|Heat pumps,Final Energy,Residential and Commercial,Residential,Heating,Heat pumps,Residential,Heating,Heat pumps,,
Lifetime |Electricity|Solar|PV|Rooftop PV,Lifetime ,Electricity,Solar,PV,Rooftop PV,Renewables,Solar,Rooftop PV,,
OM Cost|Electricity|Storage|Battery Capacity,OM Cost,Electricity,Storage,Battery Capacity,,Storage,Battery Storage,Storage - Battery Capacity,Electricity,
OM Cost|Storage|Thermal Energy Storage|District heating storage,OM Cost,Storage,Thermal Energy Storage,District heating storage,,Heating,Thermal Energy Storage,District heating storage,,
Emissions|CH4|Energy,Emissions,CH4,Energy,,,Gases,CH4,Energy,,
Emissions|CO2|AFOLU,Emissions,CO2,AFOLU,,,Gases,CO2,AFOLU,,
Emissions|CO2|Energy|Supply|Electricity,Emissions,CO2,Energy,Supply,Electricity,Power,Supply,Energy,,
Emissions|CO|Energy|Demand|Transportation,Emissions,CO,Energy,Demand,Transportation,Transportation,Demand,Energy,,
Emissions|NOx|Energy|Demand|Industry,Emissions,NOx,Energy,Demand,Industry,Industry,Demand,Energy,,
Emissions|VOC|Energy|Demand|Industry,Emissions,VOC,Energy,Demand,Industry,Industry,Demand,Energy,,
Final Energy|Electricity,Final Energy,Electricity,,,,Power,,,,
Final Energy|Residential and Commercial|Commercial|Electricity,Final Energy,Residential and Commercial,Commercial,Electricity,,Power,Electricity,,,
Final Energy|Residential and Commercial|Commercial|Solids|Coal,Final Energy,Residential and Commercial,Commercial,Solids,Coal,Commercial,Solids,Coal,,
Final Energy|Transportation|Freight|Liquids|Oil,Final Energy,Transportation,Freight,Liquids,Oil,Transportation,Freight,Liquids - Oil,,
Final Energy|Transportation|Passenger|Electricity,Final Energy,Transportation,Passenger,Electricity,,Transportation,Passenger,Electricity,,
Food Energy Supply,Food Energy Supply,,,,,Agriculture,,,,
Investment|Energy Supply|Electricity|Biomass,Investment,Energy Supply,Electricity,Biomass,,Power,,Biomass,Biomass,
Investment|Energy Supply|Electricity|Gas|w/o CCS,Investment,Energy Supply,Electricity,Gas,w/o CCS,Power,,Gas,Gas,w/o CCS
Investment|Energy Supply|Electricity|Solar,Investment,Energy Supply,Electricity,Solar,,Renewables,Solar,Solar,Solar,
Investment|Energy Supply|Extraction|Fossil,Investment,Energy Supply,Extraction,Fossil,,Extraction,,Fossil,Fossil,
Land Cover|Forest|Forestry|Harvested Area,Land Cover,Forest,Forestry,Harvested Area,,,,,,
OM Cost|Fixed|Liquids|Biomass|w/o CCS,OM Cost,Fixed,Liquids,Biomass,w/o CCS,Biomass,Liquids,Biomass - w/o CCS,,w/o CCS
Price|Agriculture|Soybean|Index,Price,Agriculture,Soybean,Index,,Agriculture,Soybean,,,
Price|Agriculture|Wheat|Index,Price,Agriculture,Wheat,Index,,Agriculture,Wheat,,,
Price|Primary Energy|Biomass,Price,Primary Energy,Biomass,,,Biomass,Biomass,,Biomass,
Price|Secondary Energy|Liquids|Biomass,Price,Secondary Energy,Liquids,Biomass,,Liquids,Biomass,Biomass,Biomass_liquid,
Primary Energy|Coal|Electricity,Primary Energy,Coal,Electricity,,,Power,,Coal,Coal,
Primary Energy|Oil|Electricity|w/o CCS,Primary Energy,Oil,Electricity,w/o CCS,,Power,,Oil - w/o CCS,Oil,w/o CCS
Secondary Energy|Heat|Gas,Secondary Energy,Heat,Gas,,,Heat,Gas,Heat,,
Secondary Energy|Liquids|Biomass|Residues,Secondary Energy,Liquids,Biomass,Residues,,Liquids,Biomass,Liquids - Residues,,
Secondary Energy|Liquids|Biomass|w/ CCS,Secondary Energy,Liquids,Biomass,w/ CCS,,Liquids,Biomass,Liquids - w/ CCS,,w/ CCS
Secondary Energy|Liquids|Biomass|w/o CCS,Secondary Energy,Liquids,Biomass,w/o CCS,,Liquids,Biomass,Liquids - w/o CCS,,w/o CCS
Trade|Primary Energy|Biomass|Volume,Trade,Primary Energy,Biomass,Volume,,Biomass,Biomass,,Biomass,
Trade|Secondary Energy|Electricity|Volume,Trade,Secondary Energy,Electricity,Volume,,Power,Electricity,Trade,,
Value Added|Industry|Energy,Value Added,Industry,Energy,,,Industry,Energy,,,
Water Consumption|Electricity|Gas|w/ CCS,Water Consumption,Electricity,Gas,w/ CCS,,Power,Gas,Gas - w/ CCS,Gas,w/ CCS
Water Consumption|Electricity|Wind,Water Consumption,Electricity,Wind,,,Renewables,Wind,Wind,Wind,
Water Consumption|Municipal Water,Water Consumption,Municipal Water,,,,Municipal Water,,,,
Water Withdrawal|Electricity|Biomass,Water Withdrawal,Electricity,Biomass,,,Power,Biomass,Biomass,Biomass,
Water Withdrawal|Electricity|Coal|w/o CCS,Water Withdrawal,Electricity,Coal,w/o CCS,,Power,Coal,Coal - w/o CCS,Coal,w/o CCS
Water Withdrawal|Electricity|Gas,Water Withdrawal,Electricity,Gas,,,Power,Gas,Gas,Gas,
Water Withdrawal|Electricity|Hydro,Water Withdrawal,Electricity,Hydro,,,Renewables,Hydro,Hydro,Hydro,
Capacity Additions|Electricity|Solar,Capacity Additions,Electricity,Solar,,,Renewables,Solar,Solar,Solar,
Capacity Additions|Electricity|Solar|PV,Capacity Additions,Electricity,Solar,PV,,Renewables,Solar,Solar - PV,Solar,
Capacity|Electricity|Oil,Capacity,Electricity,Oil,,,Power,Oil,Oil,Oil,
Capacity|Electricity|Oil|w/ CCS,Capacity,Electricity,Oil,w/ CCS,,Power,Oil,Oil - w/ CCS,Oil,w/ CCS
Capacity|Electricity|Storage Capacity,Capacity,Electricity,Storage Capacity,,,Power,Storage,Storage,Storage Capacity,
Capital Cost|Electricity|Biomass|w/o CCS,Capital Cost,Electricity,Biomass,w/o CCS,,Power,Biomass,Biomass - w/o CCS,Biomass,w/o CCS
Carbon Sequestration|CCS|Biomass|Energy|Supply|Liquids,Carbon Sequestration,CCS,Biomass,Energy,Supply,Energy,Supply,CCS,Biomass,CCS
Cumulative Capacity|Electricity|Biomass|w/o CCS,Cumulative Capacity,Electricity,Biomass,w/o CCS,,Power,Biomass,Biomass - w/o CCS,Biomass,w/o CCS
Cumulative Capacity|Electricity|Coal|w/ CCS,Cumulative Capacity,Electricity,Coal,w/ CCS,,Power,Coal,Coal - w/ CCS,Coal,w/ CCS
Cumulative Capacity|Electricity|Coal|w/o CCS,Cumulative Capacity,Electricity,Coal,w/o CCS,,Power,Coal,Coal - w/o CCS,Coal,w/o CCS
Cumulative Capacity|Electricity|Gas|w/ CCS,Cumulative Capacity,Electricity,Gas,w/ CCS,,Power,Gas,Gas - w/ CCS,Gas,w/ CCS
Cumulative Capacity|Electricity|Wind|Onshore,Cumulative Capacity,Electricity,Wind,Onshore,,Power,Wind,Wind - Onshore,Wind,
Final Energy|Transportation|Other,Final Energy,Transportation,Other,,,Transportation,Other,,,
Population|Risk of Hunger,Population,Risk of Hunger,,,,,,,,
Final Energy|Residential and Commercial|Residential|Heat,Final Energy,Residential and Commercial,Residential,Heat,,Residential,Heat,,,
Agricultural Demand|Crops|Feed,Agricultural Demand,Crops,Feed,,,Agriculture,Crops,Feed,,
Agricultural Demand|Livestock,Agricultural Demand,Livestock,,,,Agriculture,Livestock,,,
Agricultural Demand|Livestock|Food,Agricultural Demand,Livestock,Food,,,Agriculture,Livestock,Food,,
Emissions|BC|Energy|Demand|Residential and Commercial,Emissions,BC,Energy,Demand,Residential and Commercial,Residential and Commercial,Demand,Energy,,
Final Energy|Residential and Commercial|Solids|Biomass|Traditional,Final Energy,Residential and Commercial,Solids,Biomass,Traditional,Residential and Commercial,Biomass,Traditional,,
Price|Final Energy|Residential and Commercial|Residential|Electricity,Price,Final Energy,Residential and Commercial,Residential,Electricity,Residential and Commercial,Residential,Residential - Electricity,Electricity,
Cumulative Capacity|Electricity|Gas,Cumulative Capacity,Electricity,Gas,,,Power,Gas,Gas,Gas,
Production|Steel,Production,Steel,,,,Steel,,,,
Capacity|Electricity|Peak Demand,Capacity,Electricity,Peak Demand,,,Power,Electricity,,,
Carbon Sequestration|Other,Carbon Sequestration,Other,,,,,,Other,,
Final Energy|Industry|Other,Final Energy,Industry,Other,,,Industry,,,,
Final Energy|Residential and Commercial|Commercial|Hydrogen,Final Energy,Residential and Commercial,Commercial,Hydrogen,,Commercial,Hydrogen,,,
Final Energy|Residential and Commercial|Commercial|Other,Final Energy,Residential and Commercial,Commercial,Other,,Commercial,Other,,,
Lifetime|Electricity|Biomass|w/o CCS,Lifetime,Electricity,Biomass,w/o CCS,,Power,Biomass,Biomass - w/o CCS,Biomass,w/o CCS
Secondary Energy|Gases|Biomass,Secondary Energy,Gases,Biomass,,,Gases,Biomass,Gases,,
Secondary Energy|Hydrogen|Nuclear,Secondary Energy,Hydrogen,Nuclear,,,Hydrogen,Nuclear,Hydrogen,,
Secondary Energy|Hydrogen|Oil,Secondary Energy,Hydrogen,Oil,,,Hydrogen,Oil,Hydrogen,,
Secondary Energy|Hydrogen|Solar,Secondary Energy,Hydrogen,Solar,,,Hydrogen,Solar,Hydrogen,,
Secondary Energy|Liquids|Biomass|Other,Secondary Energy,Liquids,Biomass,Other,,Liquids,Biomass,Liquids - Other,,
Secondary Energy|Liquids|Fossil|w/ CCS,Secondary Energy,Liquids,Fossil,w/ CCS,,Liquids,Fossil,Liquids - w/ CCS,,w/ CCS
Energy Service|Residential and Commercial|Commercial|Floor Space,Energy Service,Residential and Commercial,Commercial,Floor Space,,Residential and Commercial,Commercial,,,
OM Cost|Fixed|Hydrogen|Electricity,OM Cost,Fixed,Hydrogen,Electricity,,Power,Hydrogen,Electricity,,
Emissions|CO|Energy|Demand|Transportation|Passenger,Emissions,CO,Energy,Demand,Transportation,Transportation,Demand,Energy,,
Emissions|VOC|Energy|Demand|Transportation|Freight,Emissions,VOC,Energy,Demand,Transportation,Transportation,Demand,Energy,,
Emissions|VOC|Energy|Demand|Transportation|Passenger,Emissions,VOC,Energy,Demand,Transportation,Transportation,Demand,Energy,,
Energy Service|Transportation|Road,Energy Service,Transportation,Road,,,Transportation,Road,,,
Final Energy|Residential and Commercial|Commercial|Lighting,Final Energy,Residential and Commercial,Commercial,Lighting,,Commercial,Lighting,,,
Investment,Investment,,,,,,,,,
Trade|Value|Exports,Trade,Value,Exports,,,,,,,
Value Added|Industry|Mining,Value Added,Industry,Mining,,,Industry,Mining,,,
Carbon Sequestration|CCS|Biomass|Energy,Carbon Sequestration,CCS,Biomass,Energy,,Energy,,CCS,Biomass,CCS
Carbon Sequestration|CCS|Fossil|Industrial Processes,Carbon Sequestration,CCS,Fossil,Industrial Processes,,Industrial Processes,,CCS,Fossil,CCS
Agricultural Demand|Crops|Energy|1st generation,Agricultural Demand,Crops,Energy,1st generation,,Agriculture,Crops,Energy - 1st generation,,
Concentration|CO2,Concentration,CO2,,,,,,,,
Primary Energy|Gas|Hydrogen,Primary Energy,Gas,Hydrogen,,,Gas&Oil,Gas,Gas - Hydrogen,Hydrogen,
Emissions|CO|Other,Emissions,CO,Other,,,,,Other,,
Export,Export,,,,,,,,,
Emissions|CO2|Waste,Emissions,CO2,Waste,,,Gases,CO2,Waste,,
Emissions|N2O|Waste,Emissions,N2O,Waste,,,Gases,N20,Waste,,
Final Energy (excl. feedstocks)|Industry|Liquids,Final Energy (excl. feedstocks),Industry,Liquids,,,Industry,Liquids,,,
Final Energy (excl. feedstocks)|Industry|Solids,Final Energy (excl. feedstocks),Industry,Solids,,,Industry,Solids,,,
Investment|Energy Supply|Hydrogen|Electricity,Investment,Energy Supply,Hydrogen,Electricity,,Hydrogen,,Electricity,Electricity,
Transport|Stock|Road|Passenger|LDV,Transport,Stock,Road,Passenger,LDV,Transportation,Road,Passenger - LDV,,
OM Cost|Fixed|Liquids|Coal|w/o CCS,OM Cost,Fixed,Liquids,Coal,w/o CCS,Coal,Liquids,Coal - w/o CCS,,w/o CCS
Resource|Extraction|Fossil,Resource,Extraction,Fossil,,,,,,,
Employment|Industry|Construction,Employment,Industry,Construction,,,Industry,Construction,,,
Final Energy|Transportation|Passenger|Household,Final Energy,Transportation,Passenger,Household,,Transportation,Passenger,Household,,
Trade|Energy|Value,Trade,Energy,Value,,,Energy,,,,
Energy Service|Transportation|Freight|International Shipping,Energy Service,Transportation,Freight,International Shipping,,Transportation,Freight,,,
Agricultural Production|Energy|Residues,Agricultural Production,Energy,Residues,,,Agriculture,Residues,Energy,,
Price|Secondary Energy|Solids|Coal,Price,Secondary Energy,Solids,Coal,,Coal,Coal,Coal,Coal,
Water Consumption|Electricity|Once Through,Water Consumption,Electricity,Once Through,,,Power,,,,
Water Consumption|Electricity|Sea Cooling,Water Consumption,Electricity,Sea Cooling,,,Power,Sea Cooling,Sea Cooling,Sea Cooling,
Emissions|CO2|AFOLU|Land,Emissions,CO2,AFOLU,Land,,,Land,AFOLU,,
Emissions|CO2|Energy|Demand|Industry|Steel,Emissions,CO2,Energy,Demand,Industry,Industry,Demand,Energy,,
Emissions|N2O|Industrial Processes|Chemicals,Emissions,N2O,Industrial Processes,Chemicals,,,Chemicals,Industrial Processes,,
Emissions|NH3|AFOLU|Agriculture,Emissions,NH3,AFOLU,Agriculture,,,Agriculture,AFOLU,,
Emissions|NOx|AFOLU|Agriculture,Emissions,NOx,AFOLU,Agriculture,,,Agriculture,AFOLU,,
Emissions|Sulfur|Energy|Demand|Residential and Commercial|Residential,Emissions,Sulfur,Energy,Demand,Residential and Commercial,Residential and Commercial,Demand,Energy,,
Emissions|VOC|Energy|Demand|Residential and Commercial|Residential,Emissions,VOC,Energy,Demand,Residential and Commercial,Residential and Commercial,Demand,Energy,,
Final Energy|Industry|Cement|Gases,Final Energy,Industry,Cement,Gases,,Cement,Gases,,,
Final Energy|Industry|Chemicals|Ammonia|Solids,Final Energy,Industry,Chemicals,Ammonia,Solids,Chemicals,Ammonia,Solids,,
Final Energy|Industry|Chemicals|Liquids|Fossil,Final Energy,Industry,Chemicals,Liquids,Fossil,Chemicals,Liquids,Fossil,,
Final Energy|Industry|Chemicals|Solids,Final Energy,Industry,Chemicals,Solids,,Chemicals,Solids,,,
Final Energy|Industry|Other|Gases|Fossil,Final Energy,Industry,Other,Gases,Fossil,Industry,Gases,Fossil,,
Final Energy|Industry|Other|Heat,Final Energy,Industry,Other,Heat,,Industry,Heat,,,
Final Energy|Industry|Pulp and Paper|Hydrogen,Final Energy,Industry,Pulp and Paper,Hydrogen,,Pulp and Paper,Hydrogen,,,
Final Energy|Industry|Pulp and Paper|Solids,Final Energy,Industry,Pulp and Paper,Solids,,Pulp and Paper,Solids,,,
Final Energy|Industry|Steel|Heat,Final Energy,Industry,Steel,Heat,,Steel,Heat,,,
Final Energy|Transportation|Road|Passenger|LDV,Final Energy,Transportation,Road,Passenger,LDV,Transportation,Road,Passenger - LDV,,
Price|Final Energy|Transportation|Electricity,Price,Final Energy,Transportation,Electricity,,Transportation,Electricity,Electricity,,
Emissions|OC|Waste,Emissions,OC,Waste,,,,,Waste,,
Final Energy|Transportation|Gases|Bioenergy,Final Energy,Transportation,Gases,Bioenergy,,Transportation,Gases,Bioenergy,,
Land Cover|Cropland|Sugarcrops,Land Cover,Cropland,Sugarcrops,,,,,,,
Final Energy|Industry|Liquids|Oil,Final Energy,Industry,Liquids,Oil,,Liquids,Oil,,,
Emissions|CO2|Energy|Demand|Residential and Commercial|Commercial|Heating,Emissions,CO2,Energy,Demand,Residential and Commercial,Residential and Commercial,Demand,Energy,,
Final Energy|Industry|Liquids|Hydrogen synfuel,Final Energy,Industry,Liquids,Hydrogen synfuel,,Liquids,Hydrogen synfuel,,,
Capacity|Transportation|Road|Freight,Capacity,Transportation,Road,Freight,,Transportation,Road,Freight,,
Capacity|Gases|Biomass|w/ CCS,Capacity,Gases,Biomass,w/ CCS,,Power,Gases,,Biomass,w/ CCS
Capacity|Gases|Coal|w/ CCS,Capacity,Gases,Coal,w/ CCS,,Power,Gases,,Coal,w/ CCS
Capacity|Gases|Coal,Capacity,Gases,Coal,,,Power,Gases,,Coal,
Capital Cost|Liquids|Coal|w/ CCS,Capital Cost,Liquids,Coal,w/ CCS,,Coal,Liquids,Coal - w/ CCS,,w/ CCS
Capital Cost|Liquids|Gas|w/o CCS,Capital Cost,Liquids,Gas,w/o CCS,,Gas&Oil,Gas,Gas - w/o CCS,,w/o CCS
Cumulative Capacity|Gases|Biomass,Cumulative Capacity,Gases,Biomass,,,Power,Gases,Biomass,Biomass,
Cumulative Capacity|Liquids|Gas,Cumulative Capacity,Liquids,Gas,,,Power,Liquids,Gas,Gas,
Efficiency|Hydrogen|Coal|w/o CCS,Efficiency,Hydrogen,Coal,w/o CCS,,Coal,Hydrogen,Hydrogen,Coal,w/o CCS
